scenario,alpha,beta,budget,rho,bBU,bBM,u_A_inf,m_A_inf,u_B_inf,m_B_inf,L_B,C,state
用户更依赖商户,1.0,0.6,0.8,0.22,0.17600000000000002,0.6240000000000001,0.08402351669098225,0.07052675472363555,0.9159764833090177,0.9294732452763644,0.9227248642926911,0.8454497285853821,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.23,0.18400000000000002,0.6160000000000001,0.08303579663931708,0.07147423157460318,0.916964203360683,0.9285257684253968,0.9227449858930399,0.8454899717860798,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.24,0.192,0.6080000000000001,0.08206432784682759,0.07243693630328096,0.9179356721531724,0.927563063696719,0.9227493679249457,0.8454987358498914,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.25,0.2,0.6000000000000001,0.08110889477898715,0.07341509443829461,0.9188911052210128,0.9265849055617054,0.9227380053913591,0.8454760107827182,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.26,0.20800000000000002,0.592,0.08016928492747849,0.07440893458765974,0.9198307150725216,0.9255910654123403,0.9227108902424309,0.8454217804848618,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.27,0.21600000000000003,0.584,0.07924528880197504,0.07541868846108019,0.920754711198025,0.9245813115389199,0.9226680113684724,0.8453360227369449,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.28,0.22400000000000003,0.576,0.07833669992106666,0.07644459089147648,0.9216633000789334,0.9235554091085235,0.9226093545937284,0.8452187091874568,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.29,0.23199999999999998,0.568,0.07744331480240123,0.07748687985568549,0.9225566851975988,0.9225131201443145,0.9225349026709566,0.8450698053419132,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.3,0.24,0.5599999999999999,0.07656493282309419,0.07854579640271901,0.9234350671769058,0.921454203597281,0.9224446353870934,0.8448892707741869,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.31,0.248,0.5519999999999999,0.07570135653478112,0.07962158490246893,0.9242986434652188,0.920378415097531,0.9223385292813749,0.8446770585627499,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.32,0.256,0.5439999999999999,0.07485239152003909,0.08071449297390323,0.9251476084799609,0.9192855070260968,0.9222165577530288,0.8444331155060577,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.33,0.264,0.5359999999999999,0.07401784615342578,0.08182477133909269,0.9259821538465742,0.9181752286609073,0.9220786912537408,0.8441573825074815,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.34,0.272,0.5279999999999999,0.07319753175742591,0.0829526739578345,0.9268024682425741,0.9170473260421655,0.9219248971423698,0.8438497942847396,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.35000000000000003,0.28,0.5199999999999999,0.07239126258690137,0.0840984580404805,0.9276087374130986,0.9159015419595196,0.9217551396863091,0.8435102793726181,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.36,0.288,0.512,0.07159885581324786,0.08526238405942256,0.9284011441867521,0.9147376159405775,0.9215693800636648,0.8431387601273296,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.37,0.296,0.504,0.07082013150827615,0.08644471575912181,0.9291798684917238,0.9135552842408782,0.921367576366301,0.842735152732602,平台B锁定
用户更依赖商户,1.0,0.6,0.8,0.38,0.30400000000000005,0.496,0.07005491262783839,0.08764572016456777,0.9299450873721616,0.9123542798354323,0.9211496836037969,0.8422993672075938,平台B锁定
